Sample #,Sampled At,Sampled From,Declared Common Name,Species Declared on the Label,State of Origin,Sample Assessment,Year,isMislabeled
2019FCP-0000024391-41,Retail - Vente au détail,ON,"SNAPPER, RED",Not Declared - Non déclarée,Canada,ND-AD,2019,0
2019FCP-0000024391-42,Imports - Importation,NB,"COD, PACIFIC",Not Declared - Non déclarée,China,S,2019,0
2019FCP-0000024391-43,Retail - Vente au détail,ON,HADDOCK,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-44,Retail - Vente au détail,ON,"HALIBUT, ATLANTIC",Not Declared - Non déclarée,Canada,U-I,2019,1
2019FCP-0000024391-45,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-46,Retail - Vente au détail,NL,COD,Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-47,Retail - Vente au détail,NL,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-48,Retail - Vente au détail,ON,"COD, PACIFIC",Not Declared - Non déclarée,United States,S,2019,0
2019FCP-0000024391-49,Retail - Vente au détail,ON,"TROUT, RAINBOW",Not Declared - Non déclarée,Canada,S,2019,0
2019FCP-0000024391-50,Retail - Vente au détail,ON,"TUNA, YELLOWFIN",Not Declared - Non déclarée,Indonesia,S,2019,0
2019FCP-0000024391-51,Retail - Vente au détail,ON,CHILEAN SEABASS,Not Declared - Non déclarée,Chile,U-I,2019,1
2019FCP-0000024391-52,Retail - Vente au détail,ON,"TOOTHFISH, ANTARTIC",Not Declared - Non déclarée,Falkland Islands,S,2019,0
2019FCP-0000024391-53,Retail - Vente au détail,ON,COD,Not Declared - Non déclarée,Iceland,U-I,2019,1
2019FCP-0000024391-54,Retail - Vente au détail,ON,HADDOCK,Not Declared - Non déclarée,Iceland,S,2019,0
2019FCP-0000024391-55,Retail - Vente au détail,NS,"SALMON, ATLANTIC",Not Declared - Non déclarée,Canada,S,2019,0
